product_code,product_name,stock_qty,rate,mrp,batch_no,expiry_date,strip_size,pack_number,unit_label,invoice_number,purchase_date,purchase_bill_no,supplier_code,distributor_name,distributor_address,drug_license_1,gstin,phone
56721,VILDIABATE M 1000,90,43.75,85,24S2GTC486,2026-06-01,15,15,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56733,TEROMIDE 5,30,9.33,20,AMN01BKA,2027-01-01,10,10,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56739,ELBAZOLE TAB,10,3.9,6,19107,2027-12-01,1,1,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56770,OFLO PLUS OZ,28,24,50,T4585,2027-04-01,10,10,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56747,CIPRONEE TZ,50,21.75,50,T4525,2026-10-01,10,10,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56745,GATOLINE 100,10,15,24,CC24250024A,2026-05-01,10,10,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56749,LOR 2 TAB,60,6.8,20,DT50111,2028-03-01,10,10,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56751,BVM GOLD 50,32,73.52,120,338024001,2026-09-01,15,15,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56758,HIMAC 50,5,4,10,SPT-39382,2027-12-01,10,10,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56760,CGMAC 50,20,10.63,25,CC25260003,2027-03-01,10,10,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56767,VORGUN GM 0.2/1,20,18,45,ST-27099,2027-03-01,10,10,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56718,ST GLIPTIN 100/500,31,40,90,SIBP24309C,2026-06-01,15,15,,2500073006429,2025-07-15,25-26/0000004,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56771,DOLOCOLD JUNIOR DROPS,1,15.62,30,DA2416,2026-11-01,1,1,,77,2025-07-17,25-26/0000005,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
56775,INTAGESIC GEL PLUS,1,30.8,60,IPL24003,2025-12-01,1,1,,77,2025-07-17,25-26/0000005,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
56780,DISPOVAN IML SYRINGE,84,5.77,10,436014AG22,2029-08-01,1,1,,77,2025-07-17,25-26/0000005,10311,MALABAR PHARMA,"CASA MARINA COMPLEX,THALAP,KANNUR",WLF20B2024KL001695,32BQKPN5471R1Z3,9037573266
56798,CEREGROW ,1,268.23,345,51220453A8,2026-07-01,1,1,,NAS06652,2025-07-26,25-26/0000007,10313,MINI AGENCIES,,,,
56815,UMIKKARI,4,23.43,30,VGUP1023,2027-01-01,1,1,,B2C-641/25-26,2025-07-28,25-26/0000009,1052,GENERAL TRADE LINKS,KANNUR,0,32AAEFG2263D1ZI,0
56816,TOOTHBRUSH BIOLINE(M),5,11.86,20,4319,2027-09-01,1,1,,B2C-641/25-26,2025-07-28,25-26/0000009,1052,GENERAL TRADE LINKS,KANNUR,0,32AAEFG2263D1ZI,0
56821,ODOMOS  S,1,26,34,JK04017,2027-04-01,1,1,,B2C-641/25-26,2025-07-28,25-26/0000009,1052,GENERAL TRADE LINKS,KANNUR,0,32AAEFG2263D1ZI,0
56828,ELADI SYP ADULT,2,57,75,B1365,2027-04-01,1,1,,B2C-641/25-26,2025-07-28,25-26/0000009,1052,GENERAL TRADE LINKS,KANNUR,0,32AAEFG2263D1ZI,0
56829,ELADI SYP PAED,2,57.14,75,B0696,2026-07-01,1,1,,B2C-641/25-26,2025-07-28,25-26/0000009,1052,GENERAL TRADE LINKS,KANNUR,0,32AAEFG2263D1ZI,0
56830,NJARAMBENNA 25ML,5,29.46,40,G01,2028-06-01,1,1,,B2C-641/25-26,2025-07-28,25-26/0000009,1052,GENERAL TRADE LINKS,KANNUR,0,32AAEFG2263D1ZI,0
56835,CIPRODROPS E/D,7,12.75,17,23212,2025-12-30,1,1,,2500173002064,2025-07-28,25-26/0000010,10268,FATHIMA MATHA MEDICALS,,,,
56837,HIM NEEM FACE WASH 15ML,2,11.83,15,992401422,2027-11-01,1,1,,2500173002064,2025-07-28,25-26/0000010,10268,FATHIMA MATHA MEDICALS,,,,
56847,HIM KAJAL,2,38,50,B702400031,2027-07-01,1,1,,2500173002064,2025-07-28,25-26/0000010,10268,FATHIMA MATHA MEDICALS,,,,
43939,AEROCORT FORTE RC,2,90.46,120,4SA2814,2026-10-01,1,1,,MCRB-25-26-9210,2025-07-31,25-26/0000011,10310,MCRB PHARMA,,,,
43870,AEROCORT RC,2,98.82,130,5SA0538,2026-08-01,1,1,,MCRB-25-26-9210,2025-07-31,25-26/0000011,10310,MCRB PHARMA,,,,
44791,DUOLIN R/C,3,170.37,225,4BA2521,2026-10-01,1,1,,MCRB-25-26-9210,2025-07-31,25-26/0000011,10310,MCRB PHARMA,,,,
44146,SYNDOPA CR,20,38.48,53,GKG0597A,2027-03-01,10,10,,MCRB-25-26-9210,2025-07-31,25-26/0000011,10310,MCRB PHARMA,,,,
56862,D PROTIN VF 200GM,1,232.14,310,DPVA250401,2027-03-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56869,PARABOOST DROPS,1,18.2,30,24281683,2026-07-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56870,AZICIP 100 SYP,2,22.9,45,ACP24006,2026-04-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
44445,TRIODERM PLUS,2,19.5,40,4932,2026-11-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56875,SKINTOP CREAM,1,84.29,110,ST2502,2027-05-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56878,MICEF O 50 SYP,1,24,50,MCF2413,2026-10-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56879,I-CAN PREG TEST CARD,1,0,40,IHFF016,2027-02-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56881,BADAM LEHYAM 400GM,1,193,260,4117,2027-06-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56882,BABY KAJAL,2,73,100,BCEZS-34,2027-02-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56883,AZAX-XL 200MG SUS,1,55,100,LMB0104,2026-11-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56884,HISTAC MPS 170ML,1,34,65,MWB0056,2026-06-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
43731,ICHITHAMOL GLYCERIN,1,20,35,2647,2028-01-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
45312,MAGNESIUM SULPHATE PASTE,4,7.7,20,2634,2028-01-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56862,D PROTIN VF 200GM,2,232.14,310,DPVA250401,2027-03-01,1,1,,ME08517,2025-07-28,25-26/0000012,10314,MUDRA ENTERPRISES,,,,
56893,WARFELIX 2,139,7.4,15,T240008,2026-03-01,10,10,,2500073007567,2025-07-30,25-26/0000013,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56895,WARFELIX 5,60,8.5,20,T251517,2027-04-01,10,10,,2500073007567,2025-07-30,25-26/0000013,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56899,TEROMIDE PLUS 20,400,60,105,TRD2402,2026-07-01,20,20,,2500073007567,2025-07-30,25-26/0000013,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
44303,OMEFOL D,13,16.5,30,5654008,2026-07-01,15,15,,454,2025-08-01,25-26/0000014,10283,MADHAVI ENTERPRISES,,,,9496360332
56913,MUPINETA OINT,1,36,60,B278C,2026-09-01,1,1,,454,2025-08-01,25-26/0000014,10283,MADHAVI ENTERPRISES,,,,9496360332
44647,METNIZID GEL,3,22,40,DLTK4001,2026-01-01,1,1,,454,2025-08-01,25-26/0000014,10283,MADHAVI ENTERPRISES,,,,9496360332
56915,BETALON TAB,10,3,4.5,BNL24006,2026-07-01,10,10,,454,2025-08-01,25-26/0000014,10283,MADHAVI ENTERPRISES,,,,9496360332
56916,HYDROWIN 400,30,77,98,HWAT-014,2026-09-01,10,10,,454,2025-08-01,25-26/0000014,10283,MADHAVI ENTERPRISES,,,,9496360332
56918,BIGFUN CONDOMS STW 10`S,3,59,100,BF01024,2026-12-01,1,1,,454,2025-08-01,25-26/0000014,10283,MADHAVI ENTERPRISES,,,,9496360332
56920,MOONEX CONDOM 3`S,1,20,50,M22314,2028-01-01,1,1,,454,2025-08-01,25-26/0000014,10283,MADHAVI ENTERPRISES,,,,9496360332
56921,BIGFUN CONDOMS CHOC 10`S,2,59,100,BF088/23,2026-11-01,1,1,,454,2025-08-01,25-26/0000014,10283,MADHAVI ENTERPRISES,,,,9496360332
56927,HYDRALINE 25,10,38.9,60,HLN25001,2027-04-01,15,15,,4713,2025-08-01,25-26/0000015,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
56929,ELDOSTAL 10,19,6.9,12,IS24204,2026-10-01,10,10,,4713,2025-08-01,25-26/0000015,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
56930,HYLORIC 100,10,11.9,19,AGT50271,2027-01-01,10,10,,4713,2025-08-01,25-26/0000015,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
43840,TREXODAT 7.5,16,35.5,58,L09-2501,2027-01-01,10,10,,2075,2025-07-31,25-26/0000016,1172,TRIWIN PHARMA,KANNUR,0,32120523854,0
56947,ACTIVE STAR SOFTGEL,5,10.5,25,SBSG-0486,2026-12-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56948,SENCARE MULTIVITAMIN SYP,1,27,70,L316F,2026-10-01,1,1,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56948,SENCARE MULTIVITAMIN SYP,1,27,70,L25IA,2026-10-01,1,1,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56952,NEBIVALVE 5,5,58.5,90,T241270,2027-05-01,30,30,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56955,SETA 50,35,11.25,20,DT40058,2027-10-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56956,SETA 25,16,8.13,18,DT40057,2027-10-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56957,ELDOMAC TAB,6,2.5,6,ECA24003,2026-05-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56959,RACEDOTIME 100,2,35,60,SC-24340,2026-12-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56960,VOMI TAB,26,12,20,T113H07B,2027-01-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56961,CIPROSEN 500,5,22.5,50,T4614,2027-04-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56962,CEFDOPILL 200,8,54.4,80,CT24400A,2026-10-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56964,PRAZOPRIME XL 2.5,200,22.5,50,PPZ2501,2027-02-01,20,20,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56967,CGTEN 25,200,2,10,CT24251278A,2026-09-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56968,TELMISARTEN 20,17,8,15,CBT-0943,2026-09-01,10,10,,2500073007338,2025-07-28,25-26/0000018,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
57011,ELDEOM ES LSR,34,51.9,75,GC240266,2026-04-01,10,10,,4887,2025-08-05,25-26/0000022,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
57013,DONEPAL 5,70,27.5,45,T242365,2026-10-01,10,10,,4887,2025-08-05,25-26/0000022,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
55515,LEVOSALVAC SYP,1,28.9,45,L41192,2026-08-01,1,1,,4887,2025-08-05,25-26/0000022,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
57015,TRUXIME 100MG TAB,54,34.5,60,EA24665,2026-11-01,10,10,,4887,2025-08-05,25-26/0000022,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
45014,ELMOX 500 CAP,27,31.5,55,MZOAL26,2026-05-01,10,10,,4887,2025-08-05,25-26/0000022,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
45301,MOUTH ULCER GEL,1,14.9,30,CU25015,2027-04-01,1,1,,4887,2025-08-05,25-26/0000022,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
57016,ELDIKOF-LS SYP,1,39.5,70,P2EQY001,2026-12-01,1,1,,4887,2025-08-05,25-26/0000022,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
57021,ROSUHEM 5,5,11.5,22,GA935002,2027-03-01,10,10,,4901,2025-08-06,25-26/0000025,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
43752,PILEX FORTE OINT,2,100.25,140,442402203,2027-11-01,1,1,,2500173002240,2025-08-06,25-26/0000026,10268,FATHIMA MATHA MEDICALS,,,,
57026,SV SET 20G,5,24,42,3K08S,2028-08-01,1,1,,2500173002275,2025-08-07,25-26/0000027,10268,FATHIMA MATHA MEDICALS,,,,
57027,SV SET 22G,2,32,48,5C13S,2030-02-01,1,1,,2500173002275,2025-08-07,25-26/0000027,10268,FATHIMA MATHA MEDICALS,,,,
57028,SV SET 24G,5,20,38,2B15S,2027-01-01,1,1,,2500173002275,2025-08-07,25-26/0000027,10268,FATHIMA MATHA MEDICALS,,,,
43752,PILEX FORTE OINT,2,100.25,140,442402203,2027-11-01,1,1,,2500173002275,2025-08-07,25-26/0000027,10268,FATHIMA MATHA MEDICALS,,,,
57033,MEFICIN FORTE,8,18.2,30,AC102AFA,2027-08-01,10,10,,ME09433,2025-08-08,25-26/0000029,10314,MUDRA ENTERPRISES,,,,
57034,CHYMOKEM FORTE,13,55,90,CYF25003ES,2027-02-01,20,20,,ME09433,2025-08-08,25-26/0000029,10314,MUDRA ENTERPRISES,,,,
44368,ZINDERVIT TAB,13,38.5,55,AK17576,2026-12-01,15,15,,6095,2025-08-09,25-26/0000031,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
45794,POTTASSIUM PERMANGANATE,9,14.5,35,67,2027-12-01,1,1,,6095,2025-08-09,25-26/0000031,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
45138,CREPE BANDAGE 10 CM SMART,1,79,120,CBJL2402,2029-11-01,1,1,,6095,2025-08-09,25-26/0000031,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
57039,TRANOPAL 500MG,30,75.5,98,JD25047,2027-02-01,10,10,,6095,2025-08-09,25-26/0000031,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
57042,LANBOW 30,40,15.5,30,SPA243357,2026-10-01,10,10,,6095,2025-08-09,25-26/0000031,1187,WESTERN PHARMA,KANNUR,0,32120241052,0
57055,MINTHAL 200 TAB,15,14.03,19.65,4300001,2028-01-01,6,6,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57057,TIKOUT SOAP,1,61.7,91,GJ5968007,2027-03-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57061,EXAPAR BOLUS ,4,32.74,44,23010,2026-08-01,4,4,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57062,INFLAMIN VET CREAM,1,67.86,95,014,2027-12-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57063,MEO ADULT PERSIAN 400GM,1,144,195,MO24,2028-10-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57064,BUFZONE POWDER 200GM,2,73.6,92,T2501709,2027-05-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57068,GRIPTOL N 60ML,2,85.71,120,LB070,2027-04-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57070,SOFTAS MAX SOAP,1,61.02,90,SF04-027,2026-06-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57072,ZIPVIT 200ML,1,186.44,275,ZP2509,2027-02-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57073,D MAG SPRAY 50ML,1,82.14,115,125,2026-08-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57076,GLUCABOOST 1 LTR,1,632,790,25T005,2027-01-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57078,NATCOF LIQUID 300ML,2,92.86,130,25002,2027-12-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57082,WISPREC ADV CREAM 25GM,2,42.86,60,25V005,2027-02-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
45899,BENDOL 1500,20,96.73,130,165,2027-09-01,4,4,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
45898,BENDOL 600,17,44.64,60,194,2027-06-01,4,4,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
45974,INFLAX 50GM,2,74.4,100,59,2026-08-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57093,FENDOBAN BOLUS 1.5GM,6,47.86,65,TFB23009,2026-11-01,2,2,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57094,FENDOBAN BOLUS 3GM,4,37.85,53,5003,2028-02-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57095,FENDOBAN I VET BOLUS,5,51.42,72,TFI25002,2027-12-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57096,FENDOBAN VET BOLUS 150 MG,20,35,49,TBF24007,2027-11-01,10,10,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57099,ERINA EP DUSTING POWDER,1,178.58,250,842501542,2028-06-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57102,EPISOOTHE SHAMPOO,1,227.12,335,GC314,2026-06-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57103,HEALANT CREAM ,1,189.29,265,380,2027-01-01,1,1,,NP2223-2713,2025-08-09,25-26/0000034,10318,NEW PHARMA,IRITTY,,,
57110,DEXOLAC 3 400GM,2,404.47,525,2506027901,2026-09-01,1,1,,25-26/14870,2025-08-09,25-26/0000035,1126,RAM AGENCIES,KANNUR,0,32AACFR7971D1ZA,0
57115,FOLIGEM TAB,8,7.3,20,5534002,2026-05-01,15,15,,508,2025-08-11,25-26/0000037,10283,MADHAVI ENTERPRISES,,,,9496360332
57117,LEEMOL SPAS SUSP ,2,27,45,DOLH24001,2026-03-01,1,1,,508,2025-08-11,25-26/0000037,10283,MADHAVI ENTERPRISES,,,,9496360332
45757,RETIVA ,2,47,60,VGL250011,2026-08-01,1,1,,508,2025-08-11,25-26/0000037,10283,MADHAVI ENTERPRISES,,,,9496360332
45365,ENSHINE TOOTH BRUSH,2,38,55,5170,2034-05-01,1,1,,507,2025-08-09,25-26/0000038,10283,MADHAVI ENTERPRISES,,,,9496360332
56973,AIRFLOW 250 R/C,2,68,125,MCD0094A,2027-09-01,1,1,,2500073008202,2025-08-07,25-26/0000041,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
56658,DICLONOC GEL,9,15,60,C2526,2027-02-01,1,1,,2500073008202,2025-08-07,25-26/0000041,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
57126,LANSOSTRUM 15 JUNIOR,69,24.4,48,BD250006,2026-12-01,15,15,,2500073008202,2025-08-07,25-26/0000041,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
57127,LOR-10,20,7.5,20,SPT241527A,2026-06-01,10,10,,2500073008202,2025-08-07,25-26/0000041,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
57128,ST GLIPTIN M 50/1000,55,49,95,SSSIL401,2026-11-01,15,15,,2500073008202,2025-08-07,25-26/0000041,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
57130,BP MONITOR RGB,1,840,1200,BPM44,2030-01-01,1,1,,2500073008202,2025-08-07,25-26/0000041,10312,JANATHA PHARMA,MANGLORE,KA-MN1-245544,29EKIPS0746F1ZT,
